Orbit Semi-Major Axis,Planet Radius,Planet Mass,Equilibrium Temperature,Stellar Effective Temperature,Stellar Radius,Stellar Mass,Stellar Luminosity,Distance
,,,,6128,1.36,1.16,0.373,181.69
,6.8,,,6320,1.49,,,181.69
0.1493,5.76,,817,6069,1.39,1.17,,181.69
,5.96,,,,1.4,,,181.69
,,,,6128,1.36,1.16,0.373,181.69
,1.323,,,,,0.83,,418.395
,1.83,,,,0.75,,,418.395
,2.17,,,,,1.11,,611.804
,2.21,,,,1.22,,,611.804
,1.6,,,,,0.91,,283.29
,1.39,,,,0.98,,,320.07
,1.12,,,,,0.95,,320.07
,,,,4581,0.67,0.72,-0.751,336.25
,,,,4581,0.67,0.72,-0.751,336.25
0.098,2.586,,536,4684,0.67,0.69,,336.25
0.28,2.69,,316,4684,0.67,0.69,,336.25
,1.73,,,,1.01,,,496.289
,1.48,,,,,0.94,,496.289
,1.8,,,,0.97,,,244.59
,1.46,,,5590,0.83,0.93,-0.119,244.59
0.0134,1.82,,2119,5617,0.98,0.97,,244.59
,1.712,7.72,,5496,0.98,0.9,,244.59
0.01312,1.82,9,2063,5496,0.95,0.92,,244.59
,1.669,,,5590,0.91,,,244.59
0.0116,1.52,8.36,2333,5470,0.87,0.94,,244.59
,1.816,,,,1.02,,,244.59
,1.669,,,5590,0.91,0.97,,244.59
0.1091,2.73,,741,5617,0.98,0.97,,244.59
,2.705,,,5590,0.91,,,244.59
,3.79,,,,1.02,,,244.59
,2.8,,,,0.97,,,244.59
0.1071,2.77,5.7,722,5496,0.95,0.92,,244.59
,2.53,,,5590,0.83,0.93,-0.119,244.59
0.105,2.5,5.8,774,5470,0.87,0.94,,244.59
,2.705,,,5590,0.91,0.97,,244.59
0.07229,11.781,953.49,1401,6202,1.59,1.32,0.526,372.632
4.5,12.442,4131.79,183,4898,2.7,0.9,,551.886
0.047,1.95,8.75,1616,5430,1.71,1.05,,321.296
0.13,3.67,14.67,990,5430,1.71,1.05,,321.296
0.22,3.94,10.18,752,5430,1.71,1.05,,321.296
800,,5085.28,2375,2838,,0.05,-0.699,
,,,,3390,0.31,,,27.9276
0.0385,2.025,,456,3348,0.31,0.29,-1.971,27.9276
0.021,,,,2953,0.16,0.12,-2.77,3.67278
0.035,,,,2953,0.16,0.12,-2.77,3.67278
0.054,,,,2953,0.16,0.12,-2.77,3.67278
,1.16,1.62,409,3270,0.21,0.18,-2.359,12.613
0.01533,1.43,1.63,644,,0.26,0.18,,12.613
0.0153,1.13,1.66,529,3270,0.21,0.18,-2.359,12.613
,,1.58,,,,,,12.613
0.0476,,,300,3270,0.21,0.18,-2.359,12.613
0.163506,,,,3287,0.36,0.34,-1.869,11.0143
0.166,,,,3287,0.36,0.34,-1.869,11.0143
0.912,,,,3287,0.36,0.34,-1.869,11.0143
,2.27,6.43,,,0.21,0.16,,14.6427
,2.74,6.37,547,2949,0.21,0.15,-2.553,14.6427
,2.678,6.55,555,3026,0.21,0.16,-2.484,14.6427
0.01411,2.847,6.26125,,3026,0.22,0.15,,14.6427
,,,,3074,0.21,0.18,-2.431,14.6427
,,,,3074,0.21,0.18,-2.431,14.6427
,2.64,,,,0.21,0.16,,14.6427
,,,,3026,0.2,,,14.6427
,,,,3074,0.21,0.18,-2.431,14.6427
,,,604,3250,0.22,0.18,-2.312,14.6427
,2.65,6.45,,3170,0.18,0.16,,14.6427
,,,,3000,,,,14.6427
,2.61,,,,0.2,,,14.6427
